,Compound,Phase,Band gap (eV),VBM (eV),CBM (eV),Compound mass,Compound type,Phase index,Average radius,HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
21,BI,BI_1,1.77639893617,-3.71539893617,-1.92960106383,68.857735,III-VII,1,101.0,2.73672,-4.27736,-1.54064,2.27607959932,-5.99147853549,-4.20568066315,2.23181009903,-6.509170099029999,-3.7724500990300003
22,BI,BI_2,0.280583333333,0.0174166666667,0.305583333333,68.857735,III-VII,2,101.0,0.692,-0.1735,0.5185,3.73743220746,-3.7200155407933,-3.431848874127,3.75281008676,-3.92631008676,-3.23431008676
23,AlF,AlF_0,0.800123076923,0.0418769230769,0.854123076923,22.789949999999997,III-VII,0,80.0,1.75145454545,-0.578727272727,1.17272727273,3.5820361234,-3.5401592003231,-2.727913046477,3.56070080461,-4.1394280773370005,-2.38797353188
24,AlF,AlF_1,0.0,1.9285186,1.9285186,22.789949999999997,III-VII,1,80.0,0.0,1.77990188,1.77990188,,,,,,
25,AlF,AlF_2,0.0,1.41299307,1.41299307,22.789949999999997,III-VII,2,80.0,0.0,1.34910938,1.34910938,6.03414923997,-4.62115616997,-4.62115616997,6.11513680242,-4.7660274224200005,-4.7660274224200005
26,AlCl,AlCl_0,1.40154601227,-2.65254601227,-1.24245398773,31.0171,III-VII,0,98.5,2.0724,-3.0582,-0.9858,2.27512559051,-4.92767160278,-3.5175795782400003,2.28219030665,-5.34039030665,-3.26799030665
27,AlCl,AlCl_1,0.658451612903,-2.9224516129,-2.2535483871,31.0171,III-VII,1,98.5,1.3656,-3.3908,-2.0252,2.06825197566,-4.990703588560001,-4.3218003627599995,2.08913518722,-5.479935187220001,-4.11433518722
28,AlCl,AlCl_2,2.34930141844,-2.41930141844,-0.0616985815603,31.0171,III-VII,2,98.5,3.31305882353,-3.02202941176,0.291029411765,2.99824351173,-5.41754493017,-3.0599420932903003,2.99924888207,-6.02127829383,-2.708219470305
29,AlBr,AlBr_0,1.82909333333,-3.08709333333,-1.24990666667,53.04275,III-VII,0,106.0,2.66892857143,-3.60696428571,-0.938035714286,2.1280996514,-5.21519298473,-3.3780063180699997,2.12258003007,-5.72954431578,-3.060615744356
30,AlBr,AlBr_1,1.54490322581,-3.68990322581,-2.13509677419,53.04275,III-VII,1,106.0,2.24036842105,-4.22968421053,-1.98931578947,1.79269421861,-5.48259744442,-3.9277909928,1.82225029623,-6.05193450676,-3.8115660857
